id;id_objetivo;llave;meta_id;meta_texto;terminos;met_conc
11;2;2.4;4;"Asegurar la sostenibilidad de los sistemas de producción de alimentos y aplicar prácticas agrícolas resilientes que aumenten la productividad y la
producción  contribuyan al mantenimiento de los ecosistemas  fortalezcan la capacidad de adaptación al cambio climático  los fenómenos meteorológicos extremos 
las sequías  las inundaciones y otros desastres  y mejoren progresivamente la calidad de la tierra y el suelo.";productos agrícolas  agricultura  cultivos  siembra  sembrar  campo  campesino  campesina  ganadería  ganaderos  tierra  sequía  lluvia  cambio climático  ecosistema  desastre natural  inundación  producción agrícola  crecimiento verde recuperación agrícola  promoción mercados campesinos  tecnificación del campo  asociativad agroindustriales.   ;"2.4 Asegurar la sostenibilidad de los sistemas de producción de alimentos y aplicar prácticas agrícolas resilientes que aumenten la productividad y la
producción  contribuyan al mantenimiento de los ecosistemas  fortalezcan la capacidad de adaptación al cambio climático  los fenómenos meteorológicos extremos 
las sequías  las inundaciones y otros desastres  y mejoren progresivamente la calidad de la tierra y el suelo."
12;2;2.5;5;"Mantener la diversidad genética de las semillas  las plantas cultivadas y los animales de granja y domesticados y sus correspondientes especies silvestres 
entre otras cosas mediante una buena gestión y diversificación de los bancos de semillas y plantas a nivel nacional  regional e internacional  y promover el acceso a
los beneficios que se deriven de la utilización de los recursos genéticos y los conocimientos tradicionales conexos y su distribución justa y equitativa  según lo
convenido internacionalmente.";semillas;"2.5 Mantener la diversidad genética de las semillas  las plantas cultivadas y los animales de granja y domesticados y sus correspondientes especies silvestres 
entre otras cosas mediante una buena gestión y diversificación de los bancos de semillas y plantas a nivel nacional  regional e internacional  y promover el acceso a
los beneficios que se deriven de la utilización de los recursos genéticos y los conocimientos tradicionales conexos y su distribución justa y equitativa  según lo
convenido internacionalmente."
13;2;2.6;a;"Aumentar  incluso mediante una mayor cooperación internacional  las inversiones en infraestructura rural 
investigación y servicios de extensión agrícola  desarrollo tecnológico y bancos de genes de plantas y ganado a fin de
mejorar la capacidad de producción agropecuaria en los países en desarrollo  particularmente en los países menos
adelantados.";desarrollo rural  desarrollo del campo  tecnificación del campo      ;"2.a Aumentar  incluso mediante una mayor cooperación internacional  las inversiones en infraestructura rural 
investigación y servicios de extensión agrícola  desarrollo tecnológico y bancos de genes de plantas y ganado a fin de
mejorar la capacidad de producción agropecuaria en los países en desarrollo  particularmente en los países menos
adelantados."
14;2;2.7;b;"Corregir y prevenir las restricciones y distorsiones comerciales en los mercados agropecuarios mundiales 
incluso mediante la eliminación paralela de todas las formas de subvención a las exportaciones agrícolas y todas las
medidas de exportación con efectos equivalentes  de conformidad con el mandato de la Ronda de Doha para el
Desarrollo.";exportación  exportaciones  productos agropecuarios  mercados agropecuarios restricciones     ;"2.b Corregir y prevenir las restricciones y distorsiones comerciales en los mercados agropecuarios mundiales 
incluso mediante la eliminación paralela de todas las formas de subvención a las exportaciones agrícolas y todas las
medidas de exportación con efectos equivalentes  de conformidad con el mandato de la Ronda de Doha para el
Desarrollo."
15;2;2.8;c;"Adoptar medidas para asegurar el buen funcionamiento de los mercados de productos básicos alimentarios y sus derivados y facilitar el acceso oportuno a
la información sobre los mercados  incluso sobre las reservas de alimentos  a fin de ayudar a limitar la extrema volatilidad de los precios de los alimentos.";precio de los alimentos  mercados  reserva de alimentos   Mercados campesinos  volatilidad  alza de precios;"2.c Adoptar medidas para asegurar el buen funcionamiento de los mercados de productos básicos alimentarios y sus derivados y facilitar el acceso oportuno a
la información sobre los mercados  incluso sobre las reservas de alimentos  a fin de ayudar a limitar la extrema volatilidad de los precios de los alimentos."
16;3;3.1;1;Reducir la tasa mundial de mortalidad materna a menos de 70 por cada 100.000 nacidos vivos.;embarazada gestante  embarazo  nacimiento  mortalidad materna  controles prenatales  partera  ginecóloga  parto  eclampsia  preeclampsia  ectópico personal calificado para partos  controles prenatales   ;3.1 Reducir la tasa mundial de mortalidad materna a menos de 70 por cada 100.000 nacidos vivos.
17;3;3.2;2;"Poner fin a las muertes evitables de recién nacidos y de niños menores de 5 años  logrando que
todos los países intenten reducir la mortalidad neonatal al menos a 12 por cada 1.000 nacidos vivos y la mortalidad de
los niños menores de 5 años al menos a 25 por cada 1.000 nacidos vivos.";mortalidad infantil  muerte mortalidad neonatal  mortalidad menores neumonía  diarrea  prematuros  falta de atención  mala atención  no hay hospital  urgencias  unidad de cuidado intensivo  vacunas  neonatal  neonato  hijo  sobrino  nieto  bebé    muerte bebé  recién nacido;"3.2 Poner fin a las muertes evitables de recién nacidos y de niños menores de 5 años  logrando que
todos los países intenten reducir la mortalidad neonatal al menos a 12 por cada 1.000 nacidos vivos y la mortalidad de
los niños menores de 5 años al menos a 25 por cada 1.000 nacidos vivos."
18;3;3.3;3;"Poner fin a las epidemias del SIDA  la tuberculosis  la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis  las enfermedades
transmitidas por el agua y otras enfermedades transmisibles.";enfermedades  sida  tuberculosis  hepatitis  contagio  virus condon  VIH  cero positivo  prostitución  protección  enfermedades tropicales  dengue  chikungunya  chicunguña  chagas  vacuna  zika  leishmaniasis  malaria  agua estancada  problemas acueducto  agua potable dengue  hepatitis b  hepatitis  c   vih  ets;"3.3 Poner fin a las epidemias del SIDA  la tuberculosis  la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis  las enfermedades
transmitidas por el agua y otras enfermedades transmisibles."
19;3;3.4;4;Reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento  y promover la salud mental y el bienestar.;"mortalidad  salud mental  medicamento  tratamiento enfermedades cardiovasculares  Hipertensión  Infarto  aneurisma  cáncer  tumor  neoplasia  diabetes  enfermedades respiratorias crónicas  asma 
 la enfermedad pulmonar obstructiva crónica  
 la rinitis alérgica  suicidio cáncer de mama  cuello uterino  colon y recto  pulmón  próstata  estómago  linfoma no Hodgkin y Leucemia en adultos. Diabetes  tumores malignos  enfermedades crónicas de las vías respiratorias inferiores  lesiones auto infligidas intencionalmente  salud mental   ";3.4 Reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento  y promover la salud mental y el bienestar.
20;3;3.5;5;Fortalecer la prevención y el tratamiento del abuso de sustancias adictivas  incluido el uso indebido de estupefacientes y el consumo nocivo de alcohol.;consumo de drogas  consumo de licor  adicción  alcohol  cerveza  aguardiente  trago  whisky  ron  Heroína  Cocaína  perico  cannabis  marihuana  porro  marihuanero  adictos  drogadictos  drogadicción  vicio  viciosos abuso o dependencia  sustancia ilícita  consumo de riesgo y perjudicial de alcohol   sustancias adictivas  sustancias ilícitas  estupefacientes  consumo nocivo de alcohol alucinógenos estupefacientes marihuanero;3.5 Fortalecer la prevención y el tratamiento del abuso de sustancias adictivas  incluido el uso indebido de estupefacientes y el consumo nocivo de alcohol.
